allocator,workload,threads,ops_per_thread,total_ops,seconds,throughput_ops_s,alloc_p50_ns,alloc_p99_ns,free_p50_ns,free_p99_ns,avg_overhead_ratio,peak_live_requested,peak_live_usable,alignment
system,rl_small,1,200000,200000,0.0155962,1.28236e+07,41,83,41,209,1,412304,412304,0
system,rl_small,2,200000,400000,0.0319037,1.25377e+07,83,500,42,459,1,417392,417392,0
system,rl_small,4,200000,800000,0.0345696,2.31417e+07,83,708,83,334,1,417392,417392,0
system,rl_small,8,200000,1600000,0.0626411,2.55423e+07,83,542,125,375,1,417392,417392,0
system,rl_medium,1,200000,200000,0.0172793,1.15745e+07,42,84,42,500,1,1713408,1713408,0
system,rl_medium,2,200000,400000,0.036025,1.11034e+07,83,750,42,417,1,1736960,1736960,0
system,rl_medium,4,200000,800000,0.0568503,1.4072e+07,84,1250,84,417,1,1740160,1740160,0
system,rl_medium,8,200000,1600000,0.0943421,1.69596e+07,125,2667,125,667,1,1740160,1740160,0
system,fragmentation_mix,1,200000,200000,0.023633,8.46273e+06,42,125,42,416,1,7707840,7707840,0
system,fragmentation_mix,2,200000,400000,0.0433377,9.22984e+06,83,625,42,458,1,7707840,7707840,0
system,fragmentation_mix,4,200000,800000,0.0682848,1.17156e+07,84,1792,125,666,1,7707840,7707840,0
system,fragmentation_mix,8,200000,1600000,0.152803,1.0471e+07,84,2542,125,625,1,7821792,7821792,0
system,alignment64,1,200000,200000,0.0180299,1.10927e+07,42,83,42,125,1,505280,505280,64
system,alignment64,2,200000,400000,0.0284793,1.40453e+07,83,500,42,250,1,514368,514368,64
system,alignment64,4,200000,800000,0.0427706,1.87044e+07,84,666,83,375,1,514368,514368,64
system,alignment64,8,200000,1600000,0.0816642,1.95924e+07,84,875,84,417,1,514368,514368,64
mempool_baseline,rl_small,1,200000,200000,0.0137369,1.45594e+07,41,42,42,167,1.17678,412304,480800,0
mempool_baseline,rl_small,2,200000,400000,0.0709635,5.6367e+06,41,84,83,39250,1.17625,417392,483200,0
mempool_baseline,rl_small,4,200000,800000,0.267262,2.99331e+06,42,458,125,36667,1.17681,417392,483200,0
mempool_baseline,rl_small,8,200000,1600000,0.593177,2.69734e+06,42,2750,166,98459,1.17706,417392,483488,0
mempool_baseline,rl_medium,1,200000,200000,0.0378619,5.28235e+06,42,417,42,334,1.00028,1713408,1713792,0
mempool_baseline,rl_medium,2,200000,400000,0.157995,2.53173e+06,42,32750,125,10291,1.01673,1736960,4234912,0
mempool_baseline,rl_medium,4,200000,800000,0.686591,1.16518e+06,42,62458,167,121791,1.00296,1740160,2681600,0
mempool_baseline,rl_medium,8,200000,1600000,2.259,708279,42,172500,583,332333,1.00046,1740160,1871264,0
mempool_baseline,fragmentation_mix,1,200000,200000,0.0688509,2.90483e+06,42,583,84,1291,1.00897,7707840,7772320,0
mempool_baseline,fragmentation_mix,2,200000,400000,0.333408,1.19973e+06,42,4459,166,10666,1.00895,7707840,7772064,0
mempool_baseline,fragmentation_mix,4,200000,800000,1.57241,508773,42,133625,250,192042,1.00899,7707840,7771936,0
mempool_baseline,fragmentation_mix,8,200000,1600000,7.5103,213041,83,484584,3084,851417,1.00896,7821792,7888480,0
mempool_baseline,alignment64,1,200000,200000,0.022076,9.05963e+06,42,333,42,375,1.71369,505280,845376,64
mempool_baseline,alignment64,2,200000,400000,0.108744,3.67836e+06,42,1000,125,45125,1.71159,514368,852224,64
mempool_baseline,alignment64,4,200000,800000,0.472131,1.69444e+06,42,40750,167,47875,1.71319,514368,852160,64
mempool_sharded,rl_small,1,200000,200000,0.0116815,1.71211e+07,0,42,42,83,1.17678,412304,480800,0
mempool_sharded,rl_small,2,200000,400000,0.0604027,6.62222e+06,41,125,42,7875,1.17625,417392,483200,0
mempool_sharded,rl_small,4,200000,800000,0.216733,3.69117e+06,41,291,84,41292,1.17681,417392,483200,0
mempool_sharded,rl_small,8,200000,1600000,0.463179,3.45439e+06,41,209,125,88792,1.17706,417392,483488,0
mempool_sharded,rl_medium,1,200000,200000,0.02794,7.1582e+06,42,417,42,375,1.00028,1713408,1713760,0
mempool_sharded,rl_medium,2,200000,400000,0.125105,3.1973e+06,42,3875,84,69291,1.00022,1736960,1737248,0
mempool_sharded,rl_medium,4,200000,800000,0.55873,1.43182e+06,42,30417,167,117167,1.00019,1740160,1740448,0
mempool_sharded,rl_medium,8,200000,1600000,2.02085,791744,42,162708,1333,243959,1.00013,1740160,1740352,0
mempool_sharded,fragmentation_mix,1,200000,200000,0.055214,3.62227e+06,42,667,84,1042,1.00898,7707840,7772288,0
mempool_sharded,fragmentation_mix,2,200000,400000,0.282848,1.41419e+06,42,4375,166,46666,1.00895,7707840,7772096,0
mempool_sharded,fragmentation_mix,4,200000,800000,1.44254,554577,42,108791,583,208542,1.00899,7707840,7772096,0
mempool_sharded,fragmentation_mix,8,200000,1600000,6.33005,252763,83,341292,3125,747833,1.00904,7821792,7888384,0
mempool_sharded,alignment64,1,200000,200000,0.0223057,8.96633e+06,42,292,42,334,1.71369,505280,845376,64
mempool_sharded,alignment64,2,200000,400000,0.109037,3.66849e+06,42,542,84,13625,1.71154,514368,852160,64
mempool_sharded,alignment64,4,200000,800000,0.476225,1.67988e+06,42,25584,167,46916,1.71319,514368,852208,64
mempool_sharded,alignment64,8,200000,1600000,1.38214,1.15762e+06,42,58666,375,189625,1.71374,514368,852160,64
mempool_baseline,alignment64,8,200000,1600000,1.38135,1.15829e+06,42,79084,333,161541,1.71375,514368,852160,64
